Data; Valor 
01/01/2022; 1.558,16 
01/02/2022; 2.278,44 
01/03/2022; 2.541,48 
01/04/2022; 2.410,81 
01/05/2022; 1.455,10 
01/06/2022; 1.013,27 
01/07/2022; 742,55 
01/08/2022; 906,23 
01/09/2022; 739,06 
01/10/2022; 763,29 
01/11/2022; 1.138,73 
01/12/2022; 1.521,52 
01/01/2023; 672,45 
01/02/2023; 545,58 
01/03/2023; 1.382,26 
01/04/2023; 848,41 
01/05/2023; 823,37 
01/06/2023; 415,62 
01/07/2023; 276,69 
01/08/2023; 214,44 
01/09/2023; 304,00 
01/10/2023; 356,92 
01/11/2023; 499,03 
01/12/2023; 936,04 
01/01/2024; 663,86 
01/02/2024; 232,71 
01/03/2024; 1.154,22 
01/04/2024; 994,55 
01/05/2024; 1.160,03 
01/06/2024; 1.168,06 
01/07/2024; 726,95 
01/08/2024; 399,92 
01/10/2024; 898,74 
01/11/2024; 563,11 
01/12/2024; 928,00 
01/01/2025; 974,97 
01/02/2025; 1.314,00 
01/03/2025; 2.306,17 
01/04/2025; 1.420,96 
01/05/2025; 1.144,11 
01/06/2025; 993,71 
01/07/2025; 872,77 
01/08/2025; 469,01 
01/09/2025; 561,02 
13/10/2025; 647,18 
